,Sujets,Group,Effectif,TrainingPhase,Compatibility,Quantiles,MeanRT,PercentCorrect,NofResp,asinPC
4,c37r2,control,3.0,medium,compatible,5,265.5072463768116,1.0,138,1.5707963267948966
5,c37r2,control,3.0,medium,compatible,6,288.4782608695652,1.0,138,1.5707963267948966
6,c37r2,control,3.0,medium,compatible,7,360.7971014492754,0.9565,138,1.360739178503668
0,c37r2,control,3.0,medium,incompatible,1,210.53254437869822,0.6959,120,0.9866460473213876
1,c37r2,control,3.0,medium,incompatible,2,241.66863905325442,0.729,120,1.0232644872719652
2,c37r2,control,3.0,medium,incompatible,3,266.4378698224853,0.6142,120,0.900616526905546
3,c37r2,control,3.0,medium,incompatible,4,310.5798816568046,0.5858,120,0.8716238027193985
4,c37r2,control,3.0,medium,incompatible,5,382.42603550295854,0.7018,120,0.9930946944621696
5,c37r2,control,3.0,medium,incompatible,6,501.56213017751514,0.5195,120,0.8049298219078729
6,c37r2,control,3.0,medium,incompatible,7,765.4319526627218,0.3041,120,0.5841505662313795
0,c37r2,control,3.0,late,compatible,1,201.55405405405403,1.0,105,1.5707963267948966
1,c37r2,control,3.0,late,compatible,2,226.7027027027027,1.0,105,1.5707963267948966
2,c37r2,control,3.0,late,compatible,3,241.14864864864876,1.0,105,1.5707963267948966
3,c37r2,control,3.0,late,compatible,4,253.2027027027026,1.0,105,1.5707963267948966
4,c37r2,control,3.0,late,compatible,5,265.8243243243243,1.0,105,1.5707963267948966
5,c37r2,control,3.0,late,compatible,6,287.6081081081083,1.0,105,1.5707963267948966
6,c37r2,control,3.0,late,compatible,7,362.4999999999999,0.9716,105,1.4015322189716244
0,c37r2,control,3.0,late,incompatible,1,206.96327683615817,0.8023,101,1.109980467144441
1,c37r2,control,3.0,late,incompatible,2,239.0536723163842,0.7627,101,1.0620051708657343
2,c37r2,control,3.0,late,incompatible,3,264.95762711864415,0.7133,101,1.00573730920232
3,c37r2,control,3.0,late,incompatible,4,307.66949152542367,0.6342,101,0.9212445877590507
4,c37r2,control,3.0,late,incompatible,5,369.0960451977402,0.8319,101,1.1483702598557803
5,c37r2,control,3.0,late,incompatible,6,480.5225988700567,0.7048,101,0.9964083780821386
6,c37r2,control,3.0,late,incompatible,7,698.601694915254,0.5636,101,0.8491300975517516
0,c35r1,control,3.0,early,compatible,1,192.68324607329845,1.0,109,1.5707963267948966
1,c35r1,control,3.0,early,compatible,2,221.23036649214657,1.0,109,1.5707963267948966
2,c35r1,control,3.0,early,compatible,3,250.31413612565453,1.0,109,1.5707963267948966
3,c35r1,control,3.0,early,compatible,4,295.54973821989523,1.0,109,1.5707963267948966
4,c35r1,control,3.0,early,compatible,5,345.0392670157067,1.0,109,1.5707963267948966
5,c35r1,control,3.0,early,compatible,6,415.1570680628276,1.0,109,1.5707963267948966
6,c35r1,control,3.0,early,compatible,7,553.5602094240836,0.9908,109,1.4749264282808991
0,c35r1,control,3.0,early,incompatible,1,218.27679782903664,0.4274,105,0.7125493756604583
1,c35r1,control,3.0,early,incompatible,2,268.07327001356856,0.3704,105,0.6543227349263053
2,c35r1,control,3.0,early,incompatible,3,316.89280868385333,0.4261,105,0.7111771171584782
3,c35r1,control,3.0,early,incompatible,4,391.42469470827695,0.4763,105,0.7616438010380729
4,c35r1,control,3.0,early,incompatible,5,488.71099050203526,0.5129,105,0.7982890340086932
5,c35r1,control,3.0,early,incompatible,6,608.6702849389412,0.4654,105,0.7507714246818744
6,c35r1,control,3.0,early,incompatible,7,848.4531886024425,0.3134,105,0.5942059662351638
0,c35r1,control,3.0,medium,compatible,1,185.54545454545453,0.9909,110,1.4753032513190152
1,c35r1,control,3.0,medium,compatible,2,211.9090909090909,1.0,110,1.5707963267948966
2,c35r1,control,3.0,medium,compatible,3,234.54545454545453,0.9636,110,1.3789297238492169
3,c35r1,control,3.0,medium,compatible,4,266.0,0.9909,110,1.4753032513190152
4,c35r1,control,3.0,medium,compatible,5,300.54545454545456,0.9818,110,1.4355414865442435
5,c35r1,control,3.0,medium,compatible,6,349.90909090909093,0.9909,110,1.4753032513190152
6,c35r1,control,3.0,medium,compatible,7,471.90909090909093,0.9909,110,1.4753032513190152
0,c35r1,control,3.0,medium,incompatible,1,213.49794238683128,0.6639,104,0.9524100043472483
1,c35r1,control,3.0,medium,incompatible,2,255.82990397805213,0.808,104,1.117170323816638
2,c35r1,control,3.0,medium,incompatible,3,282.41426611796993,0.808,104,1.117170323816638
3,c35r1,control,3.0,medium,incompatible,4,322.60631001371735,0.8601,104,1.1874173371657175
4,c35r1,control,3.0,medium,incompatible,5,395.5281207133057,0.8326,104,1.1493421027973223
5,c35r1,control,3.0,medium,incompatible,6,497.4211248285327,0.7984,104,1.105095323151075
6,c35r1,control,3.0,medium,incompatible,7,699.4238683127571,0.7984,104,1.105095323151075
0,c35r1,control,3.0,late,compatible,1,190.7185628742515,0.9895,95,1.4682526243585288
1,c35r1,control,3.0,late,compatible,2,217.3053892215569,1.0,95,1.5707963267948966
2,c35r1,control,3.0,late,compatible,3,238.2335329341317,1.0,95,1.5707963267948966
3,c35r1,control,3.0,late,compatible,4,265.52395209580845,1.0,95,1.5707963267948966
4,c35r1,control,3.0,late,compatible,5,300.1796407185629,0.9895,95,1.4682526243585288
5,c35r1,control,3.0,late,compatible,6,352.5898203592813,0.979,95,1.4255135002322508
6,c35r1,control,3.0,late,compatible,7,489.55089820359285,0.9895,95,1.4682526243585288
0,c35r1,control,3.0,late,incompatible,1,212.8025477707006,0.6879,89,0.9780256588097279
1,c35r1,control,3.0,late,incompatible,2,250.06369426751593,0.828,89,1.1431851840497675
2,c35r1,control,3.0,late,incompatible,3,280.97133757961797,0.949,89,1.3431000147330394
3,c35r1,control,3.0,late,incompatible,4,313.20063694267503,0.922,89,1.2876994796562802
4,c35r1,control,3.0,late,incompatible,5,366.46496815286633,0.8885,89,1.2303957419027975
5,c35r1,control,3.0,late,incompatible,6,465.6210191082806,0.8774,89,1.213054691323125
6,c35r1,control,3.0,late,incompatible,7,714.6974522292992,0.8217,89,1.1348053756926242
0,c41r1,test1,3.0,early,compatible,1,184.25837320574163,0.9916,119,1.4791673325883532
1,c41r1,test1,3.0,early,compatible,2,205.3468899521531,0.9916,119,1.4791673325883532
2,c41r1,test1,3.0,early,compatible,3,222.02153110047843,1.0,119,1.5707963267948966
3,c41r1,test1,3.0,early,compatible,4,240.4186602870814,1.0,119,1.5707963267948966
4,c41r1,test1,3.0,early,compatible,5,259.2344497607655,0.9916,119,1.4791673325883532
5,c41r1,test1,3.0,early,compatible,6,282.03349282296654,1.0,119,1.5707963267948966
6,c41r1,test1,3.0,early,compatible,7,343.2057416267943,1.0,119,1.5707963267948966
0,c41r1,test1,3.0,early,incompatible,1,189.63083604777418,0.6308,131,0.9177754905650847
1,c41r1,test1,3.0,early,incompatible,2,221.2812160694897,0.7231,131,1.016686168786257
2,c41r1,test1,3.0,early,incompatible,3,249.3811074918566,0.7036,131,0.9950735277969541
3,c41r1,test1,3.0,early,incompatible,4,281.52008686210644,0.7644,131,1.063975305147888
4,c41r1,test1,3.0,early,incompatible,5,336.17806731813243,0.7883,131,1.0926469876910951
5,c41r1,test1,3.0,early,incompatible,6,432.4755700325732,0.5885,131,0.8743582741986757
6,c41r1,test1,3.0,early,incompatible,7,726.6123778501627,0.0651,131,0.2580938482296238
0,c41r1,test1,3.0,medium,compatible,1,179.87058823529412,1.0,121,1.5707963267948966
1,c41r1,test1,3.0,medium,compatible,2,198.12941176470588,1.0,121,1.5707963267948966
2,c41r1,test1,3.0,medium,compatible,3,213.8941176470588,0.9918,121,1.4799245441710982
3,c41r1,test1,3.0,medium,compatible,4,227.69411764705885,1.0,121,1.5707963267948966
4,c41r1,test1,3.0,medium,compatible,5,244.21176470588227,1.0,121,1.5707963267948966
5,c41r1,test1,3.0,medium,compatible,6,266.11764705882354,1.0,121,1.5707963267948966
6,c41r1,test1,3.0,medium,compatible,7,315.00000000000006,1.0,121,1.5707963267948966
0,c41r1,test1,3.0,medium,incompatible,1,186.44935972060537,0.6438,122,0.9312288772497168
1,c41r1,test1,3.0,medium,incompatible,2,216.50756693830036,0.6717,122,0.9606776046227963
2,c41r1,test1,3.0,medium,incompatible,3,235.56461001164152,0.681,122,0.9706305518596807
3,c41r1,test1,3.0,medium,incompatible,4,255.76251455180432,0.7485,122,1.0455191823651313
4,c41r1,test1,3.0,medium,incompatible,5,287.21769499417934,0.702,122,0.993318135067579
5,c41r1,test1,3.0,medium,incompatible,6,352.8521536670549,0.7031,122,0.9945906433127654
6,c41r1,test1,3.0,medium,incompatible,7,579.3364377182769,0.3073,122,0.5876142202976191
0,c41r1,test1,3.0,late,compatible,1,180.12376237623764,1.0,115,1.5707963267948966
1,c41r1,test1,3.0,late,compatible,2,201.32425742574256,1.0,115,1.5707963267948966
2,c41r1,test1,3.0,late,compatible,3,215.56930693069305,1.0,115,1.5707963267948966
3,c41r1,test1,3.0,late,compatible,4,231.47277227722773,1.0,115,1.5707963267948966
4,c41r1,test1,3.0,late,compatible,5,245.55693069306923,1.0,115,1.5707963267948966
5,c41r1,test1,3.0,late,compatible,6,268.3044554455446,1.0,115,1.5707963267948966
6,c41r1,test1,3.0,late,compatible,7,327.7722772277228,0.9827,115,1.4387838481484134
0,c41r1,test1,3.0,late,incompatible,1,187.9407806191117,0.7739,106,1.0752519852178457
1,c41r1,test1,3.0,late,incompatible,2,217.22745625841182,0.7362,106,1.031409939016777
2,c41r1,test1,3.0,late,incompatible,3,237.80619111709296,0.7887,106,1.0931623080619666
3,c41r1,test1,3.0,late,incompatible,4,260.5248990578734,0.7968,106,1.1031239041069003
4,c41r1,test1,3.0,late,incompatible,5,300.686406460296,0.7645,106,1.0640721408822778
5,c41r1,test1,3.0,late,incompatible,6,383.43203230148083,0.8116,106,1.1217787776850976
6,c41r1,test1,3.0,late,incompatible,7,615.5450874831762,0.5478,106,0.8332502732115723
0,c32r1,test1,3.0,early,compatible,1,190.62119366626067,0.9829,117,1.4398364183414856
1,c32r1,test1,3.0,early,compatible,2,215.40803897685748,0.9744,117,1.4101743487648994
2,c32r1,test1,3.0,early,compatible,3,236.4555420219244,1.0,117,1.5707963267948966
3,c32r1,test1,3.0,early,compatible,4,258.038976857491,0.9915,117,1.4783296286400587
4,c32r1,test1,3.0,early,compatible,5,292.82582216808765,0.9829,117,1.4398364183414856
5,c32r1,test1,3.0,early,compatible,6,346.4068209500607,0.9744,117,1.4101743487648994
6,c32r1,test1,3.0,early,compatible,7,498.6845310596835,0.8977,117,1.245208923804019
0,c32r1,test1,3.0,early,incompatible,1,198.9189189189189,0.6847,111,0.9745637502671123
1,c32r1,test1,3.0,early,incompatible,2,232.34234234234233,0.5856,111,0.8714078526184246
2,c32r1,test1,3.0,early,incompatible,3,260.6306306306306,0.5225,111,0.8079280291016836
3,c32r1,test1,3.0,early,incompatible,4,292.8828828828829,0.4414,111,0.7267054419725518
4,c32r1,test1,3.0,early,incompatible,5,362.52252252252254,0.4414,111,0.7267054419725518
5,c32r1,test1,3.0,early,incompatible,6,461.7117117117117,0.3604,111,0.6438761615512907
6,c32r1,test1,3.0,early,incompatible,7,661.981981981982,0.2973,111,0.5766873178460961
0,c32r1,test1,3.0,medium,compatible,1,189.74666666666667,1.0,107,1.5707963267948966
1,c32r1,test1,3.0,medium,compatible,2,216.95999999999998,1.0,107,1.5707963267948966
2,c32r1,test1,3.0,medium,compatible,3,236.8000000000001,0.9813,107,1.433743844558927
3,c32r1,test1,3.0,medium,compatible,4,263.31999999999994,1.0,107,1.5707963267948966
4,c32r1,test1,3.0,medium,compatible,5,295.38666666666654,0.9933,107,1.4890545405435838
5,c32r1,test1,3.0,medium,compatible,6,347.92000000000024,0.9787,107,1.4242137741777574
6,c32r1,test1,3.0,medium,compatible,7,493.6799999999999,0.8787,107,1.215007475512115
0,c32r1,test1,3.0,medium,incompatible,1,200.15056461731496,0.6838,113,0.9736276677716935
1,c32r1,test1,3.0,medium,incompatible,2,238.2810539523212,0.5282,113,0.8136441568083002
2,c32r1,test1,3.0,medium,incompatible,3,263.23713927227095,0.5671,113,0.8527279370413059
3,c32r1,test1,3.0,medium,incompatible,4,302.4968632371394,0.3814,113,0.6656875099850658
4,c32r1,test1,3.0,medium,incompatible,5,371.65621079046434,0.4504,113,0.7357562859727128
5,c32r1,test1,3.0,medium,incompatible,6,470.7653701380172,0.3488,113,0.6318021658215727
6,c32r1,test1,3.0,medium,incompatible,7,683.2496863237141,0.2898,113,0.5684957391555805
0,c32r1,test1,3.0,late,compatible,1,191.6812865497076,0.9795,97,1.4272366834124242
1,c32r1,test1,3.0,late,compatible,2,218.88888888888889,0.9898,97,1.4694613164562655
2,c32r1,test1,3.0,late,compatible,3,241.608187134503,0.9693,97,1.394665367706081
3,c32r1,test1,3.0,late,compatible,4,271.5204678362572,0.9795,97,1.4272366834124242
4,c32r1,test1,3.0,late,compatible,5,317.1637426900585,0.9284,97,1.2998423415818372
5,c32r1,test1,3.0,late,compatible,6,394.98538011695933,0.9079,97,1.2624442837355645
6,c32r1,test1,3.0,late,compatible,7,596.5789473684209,0.6213,97,0.9079664086343855
0,c32r1,test1,3.0,late,incompatible,1,205.03242542153046,0.5733,110,0.8589452759410459
1,c32r1,test1,3.0,late,incompatible,2,240.22049286640726,0.7004,110,0.9915820741240653
2,c32r1,test1,3.0,late,incompatible,3,268.5862516212711,0.6239,110,0.9105660109172123
3,c32r1,test1,3.0,late,incompatible,4,316.73151750972755,0.4137,110,0.6987132584879681
4,c32r1,test1,3.0,late,incompatible,5,383.74837872892334,0.4462,110,0.7314668819146554
5,c32r1,test1,3.0,late,incompatible,6,479.87029831387844,0.4293,110,0.714472481711225
6,c32r1,test1,3.0,late,incompatible,7,689.0920881971464,0.2905,110,0.5692613126942998
0,c44r2,test2,3.0,early,compatible,1,203.33003952569172,1.0,144,1.5707963267948966
1,c44r2,test2,3.0,early,compatible,2,231.9861660079051,0.9931,144,1.4875376728052432
2,c44r2,test2,3.0,early,compatible,3,254.67391304347822,1.0,144,1.5707963267948966
3,c44r2,test2,3.0,early,compatible,4,281.0573122529645,0.9931,144,1.4875376728052432
4,c44r2,test2,3.0,early,compatible,5,316.0079051383399,1.0,144,1.5707963267948966
5,c44r2,test2,3.0,early,compatible,6,368.7055335968379,1.0,144,1.5707963267948966
6,c44r2,test2,3.0,early,compatible,7,471.9762845849802,1.0,144,1.5707963267948966
0,c44r2,test2,3.0,early,incompatible,1,238.31284916201116,0.2425,127,0.5148450600341693
1,c44r2,test2,3.0,early,incompatible,2,313.7877094972067,0.2503,127,0.5239209670206707
2,c44r2,test2,3.0,early,incompatible,3,385.1955307262569,0.3486,127,0.6315865599521087
3,c44r2,test2,3.0,early,incompatible,4,473.3966480446928,0.1911,127,0.45237848313523726
4,c44r2,test2,3.0,early,incompatible,5,592.1787709497208,0.2503,127,0.5239209670206707
5,c44r2,test2,3.0,early,incompatible,6,755.2513966480442,0.1173,127,0.34959570952280733
6,c44r2,test2,3.0,early,incompatible,7,1163.2849162011175,0.1173,127,0.34959570952280733
0,c44r2,test2,3.0,medium,compatible,1,201.29191321499016,1.0,144,1.5707963267948966
1,c44r2,test2,3.0,medium,compatible,2,229.21104536489153,0.9931,144,1.4876098519268353
2,c44r2,test2,3.0,medium,compatible,3,247.32741617357,1.0,144,1.5707963267948966
3,c44r2,test2,3.0,medium,compatible,4,270.6508875739645,1.0,144,1.5707963267948966
4,c44r2,test2,3.0,medium,compatible,5,302.6923076923078,1.0,144,1.5707963267948966
5,c44r2,test2,3.0,medium,compatible,6,346.01577909270196,1.0,144,1.5707963267948966
6,c44r2,test2,3.0,medium,compatible,7,455.72978303747544,1.0,144,1.5707963267948966
0,c44r2,test2,3.0,medium,incompatible,1,234.88081725312145,0.2384,125,0.5100570085631773
1,c44r2,test2,3.0,medium,incompatible,2,303.9273552780931,0.1351,125,0.3763452901438338
2,c44r2,test2,3.0,medium,incompatible,3,375.8342792281498,0.2384,125,0.5100570085631773
3,c44r2,test2,3.0,medium,incompatible,4,454.8013620885359,0.202,125,0.4661965697314801
4,c44r2,test2,3.0,medium,incompatible,5,552.5539160045404,0.1952,125,0.45766096914138876
5,c44r2,test2,3.0,medium,incompatible,6,707.514188422247,0.2384,125,0.5100570085631773
6,c44r2,test2,3.0,medium,incompatible,7,1146.5153234960276,0.1271,125,0.3645736517325751
0,c44r2,test2,3.0,late,compatible,1,197.14937286202965,1.0,125,1.5707963267948966
1,c44r2,test2,3.0,late,compatible,2,223.5005701254276,1.0,125,1.5707963267948966
2,c44r2,test2,3.0,late,compatible,3,243.93386545039903,1.0,125,1.5707963267948966
3,c44r2,test2,3.0,late,compatible,4,269.60091220068426,1.0,125,1.5707963267948966
4,c44r2,test2,3.0,late,compatible,5,301.2428734321551,1.0,125,1.5707963267948966
5,c44r2,test2,3.0,late,compatible,6,353.96807297605454,1.0,125,1.5707963267948966
6,c44r2,test2,3.0,late,compatible,7,458.4036488027367,0.984,125,1.4441098873706912
0,c44r2,test2,3.0,late,incompatible,1,225.3148614609572,0.471,113,0.7564143310940092
1,c44r2,test2,3.0,late,incompatible,2,273.1234256926952,0.3577,113,0.6410857940982367
2,c44r2,test2,3.0,late,incompatible,3,315.9697732997481,0.3375,113,0.6199260836190141
3,c44r2,test2,3.0,late,incompatible,4,380.8564231738036,0.2708,113,0.5472794946191215
4,c44r2,test2,3.0,late,incompatible,5,473.85390428211565,0.432,113,0.7171760714805792
5,c44r2,test2,3.0,late,incompatible,6,600.1007556675063,0.3967,113,0.6813742381122366
6,c44r2,test2,3.0,late,incompatible,7,940.0251889168766,0.3526,113,0.6358218970703653
0,c32r2,test2,3.0,early,compatible,1,193.20730117340287,1.0,109,1.5707963267948966
1,c32r2,test2,3.0,early,compatible,2,214.66753585397652,1.0,109,1.5707963267948966
2,c32r2,test2,3.0,early,compatible,3,226.910039113429,0.9817,109,1.4352821721560916
3,c32r2,test2,3.0,early,compatible,4,239.36114732724897,1.0,109,1.5707963267948966
4,c32r2,test2,3.0,early,compatible,5,256.6362451108215,1.0,109,1.5707963267948966
5,c32r2,test2,3.0,early,compatible,6,283.4419817470665,0.9909,109,1.4751146548609948
6,c32r2,test2,3.0,early,compatible,7,332.9465449804432,1.0,109,1.5707963267948966
0,c32r2,test2,3.0,early,incompatible,1,205.3161843515541,0.2776,133,0.5549219925099955
1,c32r2,test2,3.0,early,incompatible,2,239.46409431939978,0.2176,133,0.4852754212009724
2,c32r2,test2,3.0,early,incompatible,3,263.54769560557344,0.1576,133,0.4081739980868082
3,c32r2,test2,3.0,early,incompatible,4,295.4233654876742,0.1876,133,0.4479181532465539
4,c32r2,test2,3.0,early,incompatible,5,359.3461950696679,0.1726,133,0.42838799049413967
5,c32r2,test2,3.0,early,incompatible,6,486.06645230439415,0.1651,133,0.41837265164263737
6,c32r2,test2,3.0,early,incompatible,7,789.0032154340839,0.2176,133,0.4852754212009724
0,c32r2,test2,3.0,medium,compatible,1,188.35774058577405,0.9927,136,1.4851196722547773
1,c32r2,test2,3.0,medium,compatible,2,210.34518828451883,1.0,136,1.5707963267948966
2,c32r2,test2,3.0,medium,compatible,3,224.00627615062757,1.0,136,1.5707963267948966
3,c32r2,test2,3.0,medium,compatible,4,236.6841004184101,1.0,136,1.5707963267948966
4,c32r2,test2,3.0,medium,compatible,5,251.4016736401673,1.0,136,1.5707963267948966
5,c32r2,test2,3.0,medium,compatible,6,277.4790794979079,0.9927,136,1.4851196722547773
6,c32r2,test2,3.0,medium,compatible,7,331.9246861924685,1.0,136,1.5707963267948966
0,c32r2,test2,3.0,medium,incompatible,1,202.568093385214,0.1829,146,0.44188481833890625
1,c32r2,test2,3.0,medium,incompatible,2,232.8112840466926,0.1167,146,0.34868262059466215
2,c32r2,test2,3.0,medium,incompatible,3,257.97665369649803,0.1294,146,0.36793670794997774
3,c32r2,test2,3.0,medium,incompatible,4,294.18287937743196,0.1702,146,0.42529991787952204
4,c32r2,test2,3.0,medium,incompatible,5,373.6867704280156,0.1907,146,0.451869323394678
5,c32r2,test2,3.0,medium,incompatible,6,512.3443579766534,0.178,146,0.4355609017019099
6,c32r2,test2,3.0,medium,incompatible,7,853.2976653696498,0.1556,146,0.405539980200889
0,c32r2,test2,3.0,late,compatible,1,199.54292084726868,1.0,128,1.5707963267948966
1,c32r2,test2,3.0,late,compatible,2,221.3600891861761,1.0,128,1.5707963267948966
2,c32r2,test2,3.0,late,compatible,3,235.18394648829437,1.0,128,1.5707963267948966
3,c32r2,test2,3.0,late,compatible,4,246.7224080267558,1.0,128,1.5707963267948966
4,c32r2,test2,3.0,late,compatible,5,267.36900780379034,1.0,128,1.5707963267948966
5,c32r2,test2,3.0,late,compatible,6,298.6845039018954,1.0,128,1.5707963267948966
6,c32r2,test2,3.0,late,compatible,7,349.5763656633221,1.0,128,1.5707963267948966
0,c32r2,test2,3.0,late,incompatible,1,223.4539089848308,0.1062,122,0.3319201784368475
1,c32r2,test2,3.0,late,incompatible,2,277.2112018669779,0.0653,122,0.2584941266050113
2,c32r2,test2,3.0,late,incompatible,3,354.1773628938156,0.1062,122,0.3319201784368475
3,c32r2,test2,3.0,late,incompatible,4,467.71295215869316,0.1062,122,0.3319201784368475
4,c32r2,test2,3.0,late,incompatible,5,607.5612602100348,0.1307,122,0.3698858452350097
5,c32r2,test2,3.0,late,incompatible,6,807.3978996499417,0.0735,122,0.27456785045326143
6,c32r2,test2,3.0,late,incompatible,7,1078.3430571761962,0.1307,122,0.3698858452350097
0,c41r2,test1,3.0,early,compatible,1,228.8235294117647,0.9828,58,1.4394311785842717
1,c41r2,test1,3.0,early,compatible,2,307.23039215686276,0.9657,58,1.3844785674086633
2,c41r2,test1,3.0,early,compatible,3,384.7549019607843,0.9828,58,1.4394311785842717
3,c41r2,test1,3.0,early,compatible,4,469.1421568627451,0.9485,58,1.341933432445646
4,c41r2,test1,3.0,early,compatible,5,570.4901960784316,0.9485,58,1.341933432445646
5,c41r2,test1,3.0,early,compatible,6,696.5931372549019,0.902,58,1.2523276244083743
6,c41r2,test1,3.0,early,compatible,7,1074.7549019607843,0.8235,58,1.1372579104621203
0,c41r2,test1,3.0,early,incompatible,1,238.45588235294116,0.9142,58,1.2735478416721777
1,c41r2,test1,3.0,early,incompatible,2,365.39215686274514,0.8873,58,1.2283677883115485
2,c41r2,test1,3.0,early,incompatible,3,468.75,0.8897,58,1.232260687655581
3,c41r2,test1,3.0,early,incompatible,4,552.0588235294117,0.7917,58,1.096812505535227
4,c41r2,test1,3.0,early,incompatible,5,644.852941176471,0.7451,58,1.0415562740327486
5,c41r2,test1,3.0,early,incompatible,6,771.2745098039215,0.6103,58,0.8966065481869838
6,c41r2,test1,3.0,early,incompatible,7,1097.2794117647056,0.549,58,0.834497274603351
0,c41r2,test1,3.0,medium,compatible,1,221.33470225872688,0.9713,69,1.4004198273716262
1,c41r2,test1,3.0,medium,compatible,2,292.07392197125256,0.9713,69,1.4004198273716262
2,c41r2,test1,3.0,medium,compatible,3,380.6365503080083,0.9569,69,1.3616186238123351
3,c41r2,test1,3.0,medium,compatible,4,456.8377823408623,0.9713,69,1.4004198273716262
4,c41r2,test1,3.0,medium,compatible,5,552.4024640657084,0.9713,69,1.4004198273716262
5,c41r2,test1,3.0,medium,compatible,6,683.3880903490764,0.9569,69,1.3616186238123351
6,c41r2,test1,3.0,medium,compatible,7,1041.5400410677616,0.885,69,1.2248352940663942
0,c41r2,test1,3.0,medium,incompatible,1,231.37697516930024,0.8736,63,1.2073015750253338
1,c41r2,test1,3.0,medium,incompatible,2,335.4627539503386,0.9052,63,1.2578024654083837
2,c41r2,test1,3.0,medium,incompatible,3,436.07223476297975,0.86,63,1.187363872821289
3,c41r2,test1,3.0,medium,incompatible,4,537.7652370203159,0.8871,63,1.228174259191095
4,c41r2,test1,3.0,medium,incompatible,5,625.2370203160273,0.8352,63,1.1527923002973934
5,c41r2,test1,3.0,medium,incompatible,6,759.548532731377,0.6163,63,0.9027251834615511
6,c41r2,test1,3.0,medium,incompatible,7,1111.941309255079,0.5688,63,0.8544669322244713
0,c41r2,test1,3.0,late,compatible,1,230.4950495049505,0.9827,57,1.4387838481484134
1,c41r2,test1,3.0,late,compatible,2,317.94554455445547,1.0,57,1.5707963267948966
2,c41r2,test1,3.0,late,compatible,3,443.53960396039594,1.0,57,1.5707963267948966
3,c41r2,test1,3.0,late,compatible,4,536.5346534653467,0.9827,57,1.4387838481484134
4,c41r2,test1,3.0,late,compatible,5,652.5247524752473,0.9653,57,1.383552325983624
5,c41r2,test1,3.0,late,compatible,6,806.559405940594,0.9827,57,1.4387838481484134
6,c41r2,test1,3.0,late,compatible,7,1236.4851485148515,0.8267,57,1.1414738964362408
0,c41r2,test1,3.0,late,incompatible,1,268.7239583333333,0.8906,54,1.2337301530166225
1,c41r2,test1,3.0,late,incompatible,2,413.4635416666667,0.9453,54,1.3347577861027573
2,c41r2,test1,3.0,late,incompatible,3,543.4114583333335,0.9167,54,1.2779531817876473
3,c41r2,test1,3.0,late,incompatible,4,659.3489583333329,0.8932,54,1.2379249646586463
4,c41r2,test1,3.0,late,incompatible,5,799.6875000000001,0.6615,54,0.949803176271583
5,c41r2,test1,3.0,late,incompatible,6,1034.2187500000007,0.5964,54,0.882359358049521
6,c41r2,test1,3.0,late,incompatible,7,1659.479166666666,0.2552,54,0.5295916826777971
0,c38r2,control,3.0,early,compatible,1,182.34006734006732,0.9764,84,1.416663281428018
1,c38r2,control,3.0,early,compatible,2,206.5151515151515,1.0,84,1.5707963267948966
2,c38r2,control,3.0,early,compatible,3,226.26262626262624,1.0,84,1.5707963267948966
3,c38r2,control,3.0,early,compatible,4,243.58585858585863,1.0,84,1.5707963267948966
4,c38r2,control,3.0,early,compatible,5,266.01010101010087,1.0,84,1.5707963267948966
5,c38r2,control,3.0,early,compatible,6,305.892255892256,0.9882,84,1.4620228875561518
6,c38r2,control,3.0,early,compatible,7,403.4175084175083,0.9882,84,1.4620228875561518
0,c38r2,control,3.0,early,incompatible,1,191.0958904109589,0.589,73,0.8749165369345858
1,c38r2,control,3.0,early,incompatible,2,222.6027397260274,0.4521,73,0.7373789031451925
2,c38r2,control,3.0,early,incompatible,3,248.35616438356163,0.726,73,1.0199311763953691
3,c38r2,control,3.0,early,incompatible,4,266.43835616438355,0.726,73,1.0199311763953691
4,c38r2,control,3.0,early,incompatible,5,291.09589041095893,0.726,73,1.0199311763953691
5,c38r2,control,3.0,early,incompatible,6,336.8493150684931,0.6712,73,0.9601681602808948
6,c38r2,control,3.0,early,incompatible,7,448.2191780821918,0.6438,73,0.9312958989582316
0,c38r2,control,3.0,medium,compatible,1,189.05537459283389,1.0,87,1.5707963267948966
1,c38r2,control,3.0,medium,compatible,2,214.69055374592833,1.0,87,1.5707963267948966
2,c38r2,control,3.0,medium,compatible,3,234.05537459283403,1.0,87,1.5707963267948966
3,c38r2,control,3.0,medium,compatible,4,251.59609120521162,1.0,87,1.5707963267948966
4,c38r2,control,3.0,medium,compatible,5,276.38436482084694,0.9886,87,1.4638154344063743
5,c38r2,control,3.0,medium,compatible,6,316.0423452768732,1.0,87,1.5707963267948966
6,c38r2,control,3.0,medium,compatible,7,411.8241042345275,0.9772,87,1.4192181042785394
0,c38r2,control,3.0,medium,incompatible,1,194.37007874015748,0.7244,72,1.0181188786052575
1,c38r2,control,3.0,medium,incompatible,2,231.4763779527559,0.6535,72,0.9414628373412433
2,c38r2,control,3.0,medium,incompatible,3,257.38188976377955,0.685,72,0.9749449596010697
3,c38r2,control,3.0,medium,incompatible,4,281.9291338582677,0.7795,72,1.0820219376984523
4,c38r2,control,3.0,medium,incompatible,5,307.9921259842519,0.8071,72,1.116067123070652
