,Sujets,Group,Effectif,TrainingPhase,Compatibility,Quantiles,MeanRT,PercentCorrect,NofResp,asinPC
1,c4r1,test2,1.0,early,incompatible,2,424.290780141844,0.8369,120,1.1550397141768693
2,c4r1,test2,1.0,early,incompatible,3,510.094562647754,0.7033,120,0.9947742072780398
3,c4r1,test2,1.0,early,incompatible,4,602.2813238770686,0.6324,120,0.9193835317652251
4,c4r1,test2,1.0,early,incompatible,5,696.406619385343,0.5615,120,0.847019513086175
5,c4r1,test2,1.0,early,incompatible,6,864.5626477541364,0.4125,120,0.6974757709109907
6,c4r1,test2,1.0,early,incompatible,7,1242.6359338061468,0.396,120,0.6806135688145586
0,c4r1,test2,1.0,medium,compatible,1,207.60663507109007,1.0,120,1.5707963267948966
1,c4r1,test2,1.0,medium,compatible,2,245.29620853080567,1.0,120,1.5707963267948966
2,c4r1,test2,1.0,medium,compatible,3,286.50473933649295,1.0,120,1.5707963267948966
3,c4r1,test2,1.0,medium,compatible,4,344.0047393364929,1.0,120,1.5707963267948966
4,c4r1,test2,1.0,medium,compatible,5,404.40758293838877,1.0,120,1.5707963267948966
5,c4r1,test2,1.0,medium,compatible,6,501.27962085308053,1.0,120,1.5707963267948966
6,c4r1,test2,1.0,medium,compatible,7,746.5402843601895,0.9834,120,1.441640701372052
0,c4r1,test2,1.0,medium,incompatible,1,226.84210526315792,0.982,111,1.4363298706867687
1,c4r1,test2,1.0,medium,incompatible,2,287.7150192554557,0.982,111,1.4363298706867687
2,c4r1,test2,1.0,medium,incompatible,3,355.5840821566109,0.973,111,1.4058611461240125
3,c4r1,test2,1.0,medium,incompatible,4,427.48395378690645,0.982,111,1.4363298706867687
4,c4r1,test2,1.0,medium,incompatible,5,505.80231065468547,0.9101,111,1.2663497643447768
5,c4r1,test2,1.0,medium,incompatible,6,623.5430038510908,0.9101,111,1.2663497643447768
6,c4r1,test2,1.0,medium,incompatible,7,977.5096277278565,0.7304,111,1.024872504971077
0,c4r1,test2,1.0,late,compatible,1,196.69441141498214,1.0,120,1.5707963267948966
1,c4r1,test2,1.0,late,compatible,2,229.89298454221165,1.0,120,1.5707963267948966
2,c4r1,test2,1.0,late,compatible,3,270.70154577883477,1.0,120,1.5707963267948966
3,c4r1,test2,1.0,late,compatible,4,326.1236623067776,1.0,120,1.5707963267948966
4,c4r1,test2,1.0,late,compatible,5,394.62544589774063,1.0,120,1.5707963267948966
5,c4r1,test2,1.0,late,compatible,6,478.7990487514867,1.0,120,1.5707963267948966
6,c4r1,test2,1.0,late,compatible,7,715.1367419738405,0.9917,120,1.4794409615767679
0,c4r1,test2,1.0,late,incompatible,1,205.97686375321337,1.0,111,1.5707963267948966
1,c4r1,test2,1.0,late,incompatible,2,252.98200514138816,0.928,111,1.2991780899232699
2,c4r1,test2,1.0,late,incompatible,3,311.22107969151676,0.973,111,1.4057576387099768
3,c4r1,test2,1.0,late,incompatible,4,374.2416452442159,0.991,111,1.4757974573935912
4,c4r1,test2,1.0,late,incompatible,5,445.06426735218497,0.991,111,1.4757974573935912
5,c4r1,test2,1.0,late,incompatible,6,545.9897172236507,0.946,111,1.3363064784017435
6,c4r1,test2,1.0,late,incompatible,7,794.0874035989716,0.892,111,1.2359901043895798
0,c4r2,control,1.0,early,compatible,1,188.76394849785407,1.0,166,1.5707963267948966
1,c4r2,control,1.0,early,compatible,2,214.0429184549356,0.994,166,1.4932010920764576
2,c4r2,control,1.0,early,compatible,3,233.3133047210301,1.0,166,1.5707963267948966
3,c4r2,control,1.0,early,compatible,4,256.1115879828326,1.0,166,1.5707963267948966
4,c4r2,control,1.0,early,compatible,5,286.7982832618026,1.0,166,1.5707963267948966
5,c4r2,control,1.0,early,compatible,6,352.0944206008584,0.994,166,1.4932010920764576
6,c4r2,control,1.0,early,compatible,7,491.785407725322,0.9579,166,1.3642449641840193
0,c4r2,control,1.0,early,incompatible,1,202.67418032786887,0.9139,139,1.273046358034977
1,c4r2,control,1.0,early,incompatible,2,244.59016393442622,0.7633,139,1.0627200292856855
2,c4r2,control,1.0,early,incompatible,3,287.5102459016394,0.792,139,1.097231137252903
3,c4r2,control,1.0,early,incompatible,4,352.0594262295081,0.8207,139,1.133554417121702
4,c4r2,control,1.0,early,incompatible,5,445.4405737704918,0.6619,139,0.950253611242579
5,c4r2,control,1.0,early,incompatible,6,584.9282786885246,0.6137,139,0.9001320718919024
6,c4r2,control,1.0,early,incompatible,7,862.1721311475411,0.3689,139,0.652697956469838
0,c4r2,control,1.0,medium,compatible,1,180.755980861244,1.0,149,1.5707963267948966
1,c4r2,control,1.0,medium,compatible,2,203.07177033492823,1.0,149,1.5707963267948966
2,c4r2,control,1.0,medium,compatible,3,217.68421052631578,1.0,149,1.5707963267948966
3,c4r2,control,1.0,medium,compatible,4,239.2631578947368,1.0,149,1.5707963267948966
4,c4r2,control,1.0,medium,compatible,5,271.41626794258383,1.0,149,1.5707963267948966
5,c4r2,control,1.0,medium,compatible,6,338.4401913875597,0.9933,149,1.4888588178703852
6,c4r2,control,1.0,medium,compatible,7,514.5933014354068,0.9665,149,1.3867487514470418
0,c4r2,control,1.0,medium,incompatible,1,184.38075742067554,0.9498,139,1.3449324189763043
1,c4r2,control,1.0,medium,incompatible,2,213.49027635619242,0.9498,139,1.3449324189763043
2,c4r2,control,1.0,medium,incompatible,3,239.9795291709314,0.9069,139,1.2606568106091802
3,c4r2,control,1.0,medium,incompatible,4,275.05629477993864,0.914,139,1.2732031967376511
4,c4r2,control,1.0,medium,incompatible,5,331.22824974411463,0.8854,139,1.2253871748157232
5,c4r2,control,1.0,medium,incompatible,6,436.7860798362333,0.8925,139,1.2367914262130455
6,c4r2,control,1.0,medium,incompatible,7,692.6305015353121,0.6847,139,0.9746332070361545
0,c4r2,control,1.0,late,compatible,1,177.13587487781035,1.0,146,1.5707963267948966
1,c4r2,control,1.0,late,compatible,2,195.92375366568916,1.0,146,1.5707963267948966
2,c4r2,control,1.0,late,compatible,3,214.75073313782994,0.9932,146,1.4879837772757418
3,c4r2,control,1.0,late,compatible,4,235.10263929618765,1.0,146,1.5707963267948966
4,c4r2,control,1.0,late,compatible,5,264.4281524926686,1.0,146,1.5707963267948966
5,c4r2,control,1.0,late,compatible,6,333.36265884653,1.0,146,1.5707963267948966
6,c4r2,control,1.0,late,compatible,7,522.6686217008796,0.9795,146,1.427027143376061
0,c4r2,control,1.0,late,incompatible,1,181.5568862275449,0.9581,143,1.3646060999993954
1,c4r2,control,1.0,late,incompatible,2,207.93413173652695,0.993,143,1.4871178659315016
2,c4r2,control,1.0,late,incompatible,3,235.52894211576853,0.9441,143,1.332129456319238
3,c4r2,control,1.0,late,incompatible,4,268.3233532934131,0.9092,143,1.2646762404232939
4,c4r2,control,1.0,late,incompatible,5,315.86826347305384,0.9162,143,1.2770504037989148
5,c4r2,control,1.0,late,incompatible,6,401.0179640718565,0.9022,143,1.2527238861844814
6,c4r2,control,1.0,late,incompatible,7,607.2754491017963,0.7834,143,1.0867475134410027
0,c2r1,control,1.0,early,compatible,1,223.02596239928383,0.9812,159,1.4332470224289122
1,c2r1,control,1.0,early,compatible,2,289.6508504923903,0.9812,159,1.4332470224289122
2,c2r1,control,1.0,early,compatible,3,380.734109221128,0.9875,159,1.458603646150555
3,c2r1,control,1.0,early,compatible,4,442.14861235452116,1.0,159,1.5707963267948966
4,c2r1,control,1.0,early,compatible,5,522.4709042076992,0.9875,159,1.458603646150555
5,c2r1,control,1.0,early,compatible,6,642.6857654431512,0.9875,159,1.458603646150555
6,c2r1,control,1.0,early,compatible,7,996.4637421665172,0.906,159,1.259179179182293
0,c2r1,control,1.0,early,incompatible,1,241.7746759720837,0.9511,143,1.3479258201207003
1,c2r1,control,1.0,early,incompatible,2,339.9800598205384,0.9163,143,1.277202407324131
2,c2r1,control,1.0,early,incompatible,3,419.77068793619145,0.9093,143,1.2648355577903514
3,c2r1,control,1.0,early,incompatible,4,503.6989032901296,0.9153,143,1.2754074225311132
4,c2r1,control,1.0,early,incompatible,5,595.8823529411767,0.8684,143,1.1995529477871816
5,c2r1,control,1.0,early,incompatible,6,755.6729810568293,0.7836,143,1.0870097377117718
6,c2r1,control,1.0,early,incompatible,7,1192.6819541375876,0.679,143,0.9684208633423095
0,c2r1,control,1.0,medium,compatible,1,210.67567567567568,0.9932,148,1.4885052543729786
